InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,Month,Year,HighValueCustomer
571242,22141,CHRISTMAS CRAFT TREE TOP ANGEL,48,14/10/2011 15:04,1.85,17809,United Kingdom,88.8,10,2011,No
540671,21868,POTTING SHED TEA MUG,12,10/01/2011 15:35,1.25,17739,United Kingdom,15,1,2011,No
572755,84536B,FAIRY CAKES NOTEBOOK A7 SIZE,6,25/10/2011 17:31,0.42,13601,United Kingdom,2.52,10,2011,No
547964,82483,WOOD 2 DRAWER CABINET WHITE FINISH,1,28/03/2011 15:45,14.13,Unknown,United Kingdom,14.13,3,2011,No
565442,21981,PACK OF 12 WOODLAND TISSUES ,48,04/09/2011 14:09,0.29,12627,Germany,13.92,9,2011,No
562220,22277,COSMETIC BAG VINTAGE ROSE PAISLEY,6,03/08/2011 14:19,2.1,15150,United Kingdom,12.6,8,2011,No
550767,21915,RED  HARMONICA IN BOX ,12,20/04/2011 12:32,1.25,14776,United Kingdom,15,4,2011,No
561028,20725,LUNCH BAG RED RETROSPOT,2,24/07/2011 11:06,1.65,17769,United Kingdom,3.3,7,2011,No
545575,22059,CERAMIC STRAWBERRY DESIGN MUG,12,03/03/2011 18:28,1.49,13014,United Kingdom,17.88,3,2011,No
568095,22065,CHRISTMAS PUDDING TRINKET POT ,12,23/09/2011 14:49,1.45,14911,Eire,17.4,9,2011,No
540975,48138,DOORMAT UNION FLAG,1,12/01/2011 14:57,7.95,14040,United Kingdom,7.95,1,2011,No
541288,22470,HEART OF WICKER LARGE,4,17/01/2011 13:21,2.95,14525,United Kingdom,11.8,1,2011,No
547497,22723,SET OF 6 HERB TINS SKETCHBOOK,4,23/03/2011 12:15,3.95,14461,United Kingdom,15.8,3,2011,No
549282,82001S,VINYL RECORD FRAME SILVER,4,07/04/2011 13:24,3.75,13718,United Kingdom,15,4,2011,No
565766,22679,FRENCH BLUE METAL DOOR SIGN 4,2,06/09/2011 14:23,1.25,17841,United Kingdom,2.5,9,2011,No
578344,21865,PINK UNION JACK  PASSPORT COVER ,1,24/11/2011 09:21,4.13,Unknown,United Kingdom,4.13,11,2011,No
548666,47344B,BLUE FLOWER DES PURSE,14,01/04/2011 14:58,1.25,13124,United Kingdom,17.5,4,2011,No
575954,20668,DISCO BALL CHRISTMAS DECORATION,24,13/11/2011 12:03,0.12,17211,United Kingdom,2.88,11,2011,No
550446,16161P,WRAP ENGLISH ROSE ,25,18/04/2011 12:36,0.42,13871,United Kingdom,10.5,4,2011,No
546429,84199,GLOW IN DARK DOLPHINS,2,13/03/2011 15:25,0.21,17611,United Kingdom,0.42,3,2011,No
539736,21041,RED RETROSPOT OVEN GLOVE DOUBLE,2,21/12/2010 15:18,5.91,Unknown,United Kingdom,11.82,12,2010,No
564052,22383,LUNCH BAG SUKI DESIGN ,2,22/08/2011 13:40,1.65,15033,United Kingdom,3.3,8,2011,No
566048,20724,RED RETROSPOT CHARLOTTE BAG,10,08/09/2011 14:21,0.85,16558,United Kingdom,8.5,9,2011,No
540907,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,12/01/2011 11:52,1.25,13488,United Kingdom,15,1,2011,No
552280,21967,PACK OF 12 SKULL TISSUES,9,08/05/2011 12:39,0.29,13561,United Kingdom,2.61,5,2011,No
571082,21976,PACK OF 60 MUSHROOM CAKE CASES,1,13/10/2011 15:25,1.25,Unknown,United Kingdom,1.25,10,2011,No
569087,23381,PACK OF 12 VINTAGE LEAF TISSUES ,24,30/09/2011 12:03,0.39,13095,United Kingdom,9.36,9,2011,No
580983,23300,GARDENERS KNEELING PAD CUP OF TEA ,1,06/12/2011 16:26,3.29,Unknown,United Kingdom,3.29,12,2011,No
562980,85099B,JUMBO BAG RED RETROSPOT,10,11/08/2011 11:44,2.08,17686,United Kingdom,20.8,8,2011,No
580667,22795,SWEETHEART RECIPE BOOK STAND,2,05/12/2011 14:19,6.75,15031,United Kingdom,13.5,12,2011,No
548325,21244,BLUE POLKADOT PLATE ,16,30/03/2011 13:01,1.69,13509,United Kingdom,27.04,3,2011,No
572182,22024,RAINY LADIES BIRTHDAY CARD,12,21/10/2011 10:32,0.42,13588,United Kingdom,5.04,10,2011,No
551016,22295,HEART FILIGREE DOVE LARGE,12,26/04/2011 11:09,1.65,17975,United Kingdom,19.8,4,2011,No
552662,21931,JUMBO STORAGE BAG SUKI,2,10/05/2011 15:04,4.13,Unknown,United Kingdom,8.26,5,2011,No
564840,22712,CARD DOLLY GIRL ,1,30/08/2011 12:49,0.83,Unknown,United Kingdom,0.83,8,2011,No
561352,85152,HAND OVER THE CHOCOLATE   SIGN ,12,26/07/2011 14:41,2.1,18094,United Kingdom,25.2,7,2011,No
547385,22865,HAND WARMER OWL DESIGN,1,22/03/2011 15:48,4.13,Unknown,United Kingdom,4.13,3,2011,No
550211,22637,PIGGY BANK RETROSPOT ,1,15/04/2011 10:41,5.79,Unknown,United Kingdom,5.79,4,2011,No
576078,22971,QUEENS GUARD COFFEE MUG,2,13/11/2011 16:22,2.55,14432,United Kingdom,5.1,11,2011,No
540148,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,24,05/01/2011 10:58,1.25,14189,United Kingdom,30,1,2011,No
544681,22035,VINTAGE CARAVAN GREETING CARD ,1,22/02/2011 16:28,0.83,Unknown,United Kingdom,0.83,2,2011,No
561705,23203,JUMBO BAG DOILEY PATTERNS,20,29/07/2011 11:23,2.08,14735,United Kingdom,41.6,7,2011,No
540977,47594B,SCOTTIES DESIGN WASHBAG,7,12/01/2011 15:01,1.66,Unknown,United Kingdom,11.62,1,2011,No
542632,22961,JAM MAKING SET PRINTED,96,31/01/2011 10:13,1.25,13324,United Kingdom,120,1,2011,No
543487,20723,STRAWBERRY CHARLOTTE BAG,10,09/02/2011 10:25,0.85,13319,United Kingdom,8.5,2,2011,No
571500,23351,ROLL WRAP 50'S CHRISTMAS,2,17/10/2011 15:09,1.25,Unknown,United Kingdom,2.5,10,2011,No
568040,23196,VINTAGE LEAF MAGNETIC NOTEPAD,12,23/09/2011 12:09,1.45,12681,France,17.4,9,2011,No
562608,84987,SET OF 36 TEATIME PAPER DOILIES,12,08/08/2011 11:45,1.45,15502,United Kingdom,17.4,8,2011,No
555278,21454,PAINTED PINK RABBIT ,15,01/06/2011 17:33,0.83,Unknown,United Kingdom,12.45,6,2011,No
557289,21899,"KEY FOB , GARAGE DESIGN",2,19/06/2011 12:58,0.65,16880,United Kingdom,1.3,6,2011,No
578827,22722,SET OF 6 SPICE TINS PANTRY DESIGN,2,25/11/2011 14:25,8.29,Unknown,United Kingdom,16.58,11,2011,No
540352,21508,VINTAGE KID DOLLY CARD ,1,06/01/2011 14:27,0.85,Unknown,United Kingdom,0.85,1,2011,No
577711,23349,ROLL WRAP VINTAGE CHRISTMAS,2,21/11/2011 12:17,1.25,15527,United Kingdom,2.5,11,2011,No
544356,21880,RED RETROSPOT TAPE,12,18/02/2011 11:18,0.65,13904,United Kingdom,7.8,2,2011,No
540968,21162,TOXIC AREA  DOOR HANGER ,2,12/01/2011 13:40,1.45,17338,United Kingdom,2.9,1,2011,No
578541,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,4,24/11/2011 15:01,3.25,14277,France,13,11,2011,No
536808,21257,VICTORIAN SEWING BOX MEDIUM,2,02/12/2010 16:46,7.95,17659,United Kingdom,15.9,12,2010,No
575340,22816,CARD MOTORBIKE SANTA,24,09/11/2011 14:31,0.42,15485,United Kingdom,10.08,11,2011,No
541265,20713,JUMBO BAG OWLS,2,16/01/2011 16:23,1.95,17609,United Kingdom,3.9,1,2011,No
539307,10135,COLOURING PENCILS BROWN TUBE,100,16/12/2010 17:43,0.42,13694,United Kingdom,42,12,2010,No
571732,23045,PAPER LANTERN 5 POINT STAR MOON ,4,19/10/2011 09:58,4.15,16298,United Kingdom,16.6,10,2011,No
560926,21062,PARTY INVITES SPACEMAN,10,22/07/2011 09:20,0.83,Unknown,United Kingdom,8.3,7,2011,No
539611,85135B,Found,53,20/12/2010 14:33,0,Unknown,United Kingdom,0,12,2010,No
576779,22602,RETROSPOT WOODEN HEART DECORATION,10,16/11/2011 13:25,0.85,14554,United Kingdom,8.5,11,2011,No
558475,90177A,CLASSIC DIAMANTE EARRINGS JET,1,29/06/2011 15:58,2.9,Unknown,United Kingdom,2.9,6,2011,No
556813,DOT,DOTCOM POSTAGE,1,14/06/2011 17:28,191.78,Unknown,United Kingdom,191.78,6,2011,No
552042,22348,TEA BAG PLATE RED RETROSPOT,12,06/05/2011 09:00,0.85,13952,United Kingdom,10.2,5,2011,No
572758,72817,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,3,25/10/2011 18:39,1.63,Unknown,United Kingdom,4.89,10,2011,No
537237,21790,VINTAGE SNAP CARDS,3,06/12/2010 09:58,1.66,Unknown,United Kingdom,4.98,12,2010,No
568368,15058C,ICE CREAM DESIGN GARDEN PARASOL,1,26/09/2011 16:13,7.95,17997,United Kingdom,7.95,9,2011,No
539453,22832,BROCANTE SHELF WITH HOOKS,1,17/12/2010 17:08,21.23,Unknown,United Kingdom,21.23,12,2010,No
570125,22950,36 DOILIES VINTAGE CHRISTMAS,12,07/10/2011 13:14,1.45,17509,United Kingdom,17.4,10,2011,No
549667,21042,RED RETROSPOT APRON ,3,11/04/2011 12:20,5.95,14911,Eire,17.85,4,2011,No
548312,22804,CANDLEHOLDER PINK HANGING HEART,4,30/03/2011 12:12,2.95,16059,United Kingdom,11.8,3,2011,No
552530,22502,PICNIC BASKET WICKER SMALL,4,10/05/2011 08:58,5.95,13055,United Kingdom,23.8,5,2011,No
547910,85099B,JUMBO BAG RED RETROSPOT,2,28/03/2011 12:23,1.95,14159,United Kingdom,3.9,3,2011,No
555815,84884A,ANT WHITE WIRE HEART SPIRAL,12,07/06/2011 11:47,3.95,13089,United Kingdom,47.4,6,2011,No
541273,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,17/01/2011 11:21,1.25,13155,United Kingdom,15,1,2011,No
551987,22384,LUNCH BAG PINK POLKADOT,2,05/05/2011 14:55,1.65,15005,United Kingdom,3.3,5,2011,No
544089,22421,LIPSTICK PEN FUSCHIA,1,15/02/2011 17:51,0.83,Unknown,United Kingdom,0.83,2,2011,No
554825,22530,MAGIC DRAWING SLATE DOLLY GIRL ,24,26/05/2011 14:45,0.42,16843,United Kingdom,10.08,5,2011,No
567656,22407,MONEY BOX FIRST AID DESIGN,1,21/09/2011 14:40,2.46,14096,United Kingdom,2.46,9,2011,No
538524,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,1,13/12/2010 09:35,5.91,Unknown,United Kingdom,5.91,12,2010,No
574475,85227,SET OF 6 3D KIT CARDS FOR KIDS,12,04/11/2011 12:18,0.85,14132,United Kingdom,10.2,11,2011,No
553148,21218,RED SPOTTY BISCUIT TIN,6,13/05/2011 14:09,3.75,Unknown,Hong Kong,22.5,5,2011,No
569897,22893,MINI CAKE STAND T-LIGHT HOLDER,12,06/10/2011 16:01,0.42,17813,United Kingdom,5.04,10,2011,No
554714,84378,SET OF 3 HEART COOKIE CUTTERS,1,26/05/2011 10:44,3.29,Unknown,United Kingdom,3.29,5,2011,No
549245,22384,LUNCH BAG PINK POLKADOT,1,07/04/2011 11:59,1.65,15005,United Kingdom,1.65,4,2011,No
558613,20728,LUNCH BAG CARS BLUE,10,30/06/2011 15:46,1.65,14911,Eire,16.5,6,2011,No
566968,22457,NATURAL SLATE HEART CHALKBOARD ,6,15/09/2011 18:49,2.95,16350,United Kingdom,17.7,9,2011,No
575177,22751,FELTCRAFT PRINCESS OLIVIA DOLL,1,08/11/2011 18:41,7.46,Unknown,United Kingdom,7.46,11,2011,No
572203,23201,JUMBO BAG ALPHABET,5,21/10/2011 12:05,2.08,17068,United Kingdom,10.4,10,2011,No
547712,84360,TABLE LAMP WHITE SHADE WOOD BASE,5,24/03/2011 19:31,5.95,16905,United Kingdom,29.75,3,2011,No
575918,21889,WOODEN BOX OF DOMINOES,5,11/11/2011 16:58,1.25,17191,United Kingdom,6.25,11,2011,No
564056,37413,ICON MUG REVOLUTIONARY,6,22/08/2011 14:13,0.39,14387,United Kingdom,2.34,8,2011,No
574481,22586,FELTCRAFT HAIRBAND PINK AND BLUE,1,04/11/2011 12:45,0.85,18022,United Kingdom,0.85,11,2011,No
570818,47559B,TEA TIME OVEN GLOVE,1,12/10/2011 12:47,1.25,17841,United Kingdom,1.25,10,2011,No
571061,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,13/10/2011 14:33,8.29,Unknown,United Kingdom,8.29,10,2011,No
539631,21213,PACK OF 72 SKULL CAKE CASES,1,20/12/2010 15:03,1.28,Unknown,United Kingdom,1.28,12,2010,No
537830,22469,HEART OF WICKER SMALL,4,08/12/2010 14:46,1.65,13649,United Kingdom,6.6,12,2010,No
554712,22203,MILK PAN RED RETROSPOT,8,26/05/2011 10:43,3.75,16873,United Kingdom,30,5,2011,No
574545,22624,IVORY KITCHEN SCALES,2,04/11/2011 14:54,8.5,17084,United Kingdom,17,11,2011,No
537823,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,6,08/12/2010 14:25,1.84,Unknown,United Kingdom,11.04,12,2010,No
551012,20723,STRAWBERRY CHARLOTTE BAG,3,26/04/2011 10:32,2.46,Unknown,United Kingdom,7.38,4,2011,No
540415,85025C,PINK HEART SHAPE PHOTO FRAME,3,07/01/2011 10:47,1.65,16889,United Kingdom,4.95,1,2011,No
567199,23352,ROLL WRAP 50'S RED CHRISTMAS ,12,19/09/2011 10:13,1.25,17058,United Kingdom,15,9,2011,No
536538,48129,DOORMAT TOPIARY,1,01/12/2010 13:54,7.95,14594,United Kingdom,7.95,12,2010,No
560892,84946,ANTIQUE SILVER T-LIGHT GLASS,24,21/07/2011 17:08,1.25,13089,United Kingdom,30,7,2011,No
554511,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,24/05/2011 15:52,2.95,Unknown,United Kingdom,26.55,5,2011,No
557889,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,3,23/06/2011 13:51,4.65,12412,Denmark,13.95,6,2011,No
562276,21936,RED RETROSPOT PICNIC BAG,5,04/08/2011 10:23,2.95,17735,United Kingdom,14.75,8,2011,No
567818,21903,MAN FLU METAL SIGN,7,22/09/2011 12:41,2.1,14395,United Kingdom,14.7,9,2011,No
547830,20726,LUNCH BAG WOODLAND,1,25/03/2011 15:50,4.13,Unknown,United Kingdom,4.13,3,2011,No
541205,22791,T-LIGHT GLASS FLUTED ANTIQUE,12,14/01/2011 12:23,1.25,18106,United Kingdom,15,1,2011,No
574298,22340,NOEL GARLAND PAINTED ZINC ,2,03/11/2011 15:56,0.83,Unknown,United Kingdom,1.66,11,2011,No
541422,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1,17/01/2011 17:48,4.96,Unknown,United Kingdom,4.96,1,2011,No
542622,85039B,S/4 IVORY MINI ROSE CANDLE IN BOWL,20,31/01/2011 09:09,1.63,Unknown,United Kingdom,32.6,1,2011,No
560826,22698,PINK REGENCY TEACUP AND SAUCER,6,21/07/2011 11:30,2.95,18073,United Kingdom,17.7,7,2011,No
560433,21201,TROPICAL  HONEYCOMB PAPER GARLAND ,7,18/07/2011 15:49,4.96,Unknown,United Kingdom,34.72,7,2011,No
574740,84029E,RED WOOLLY HOTTIE WHITE HEART.,24,06/11/2011 16:07,3.75,12357,Switzerland,90,11,2011,No
543007,22460,EMBOSSED GLASS TEALIGHT HOLDER,12,02/02/2011 12:54,1.25,13894,United Kingdom,15,2,2011,No
554131,22487,WHITE WOOD GARDEN PLANT LADDER,8,23/05/2011 09:43,8.5,13988,United Kingdom,68,5,2011,No
557283,20725,LUNCH BAG RED RETROSPOT,2,19/06/2011 12:26,1.65,16813,United Kingdom,3.3,6,2011,No
574353,22692,DOORMAT WELCOME TO OUR HOME,1,04/11/2011 10:46,8.25,14659,United Kingdom,8.25,11,2011,No
569398,21790,VINTAGE SNAP CARDS,216,04/10/2011 08:27,0.72,17381,United Kingdom,155.52,10,2011,No
571270,23329,DECORATIVE WICKER HEART LARGE,2,16/10/2011 12:09,1.65,12940,United Kingdom,3.3,10,2011,No
558631,23322,LARGE WHITE HEART OF WICKER,3,30/06/2011 18:17,2.95,17921,United Kingdom,8.85,6,2011,No
577783,23230,WRAP ALPHABET DESIGN,50,21/11/2011 16:20,0.42,18139,United Kingdom,21,11,2011,No
554164,23298,SPOTTY BUNTING,9,23/05/2011 11:58,4.95,14364,United Kingdom,44.55,5,2011,No
557771,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,12,22/06/2011 14:43,1.25,15601,United Kingdom,15,6,2011,No
557480,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,20/06/2011 14:10,4.96,Unknown,United Kingdom,4.96,6,2011,No
571205,23534,WALL ART STOP FOR TEA ,3,14/10/2011 12:41,5.95,15620,United Kingdom,17.85,10,2011,No
580366,23012,GLASS APOTHECARY BOTTLE PERFUME,1,02/12/2011 16:38,3.95,Unknown,United Kingdom,3.95,12,2011,No
552675,22090,PAPER BUNTING RETROSPOT,1,10/05/2011 15:07,6.63,Unknown,United Kingdom,6.63,5,2011,No
548792,22951,60 CAKE CASES DOLLY GIRL DESIGN,2,04/04/2011 12:42,0.55,14711,United Kingdom,1.1,4,2011,No
561036,23296,SET OF 6 TEA TIME BAKING CASES,4,24/07/2011 11:54,1.25,13137,United Kingdom,5,7,2011,No
579990,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,01/12/2011 11:20,0.85,14804,United Kingdom,10.2,12,2011,No
540352,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,3,06/01/2011 14:27,3.36,Unknown,United Kingdom,10.08,1,2011,No
559338,22371,AIRLINE BAG VINTAGE TOKYO 78,5,07/07/2011 16:30,4.13,Unknown,United Kingdom,20.65,7,2011,No
550328,22997,TRAVEL CARD WALLET UNION JACK,3,17/04/2011 13:18,0.42,17582,United Kingdom,1.26,4,2011,No
575089,23210,WHITE ROCKING HORSE HAND PAINTED,24,08/11/2011 14:02,1.25,13437,United Kingdom,30,11,2011,No
545398,22704,WRAP RED APPLES ,25,02/03/2011 11:43,0.42,13722,United Kingdom,10.5,3,2011,No
545445,47590A,BLUE HAPPY BIRTHDAY BUNTING,3,02/03/2011 16:26,5.45,17738,United Kingdom,16.35,3,2011,No
568143,20992,JAZZ HEARTS PURSE NOTEBOOK,120,25/09/2011 11:28,0.39,13266,United Kingdom,46.8,9,2011,No
556636,20733,GOLD MINI TAPE MEASURE ,3,13/06/2011 15:30,0.83,Unknown,United Kingdom,2.49,6,2011,No
538524,85040A,S/4 PINK FLOWER CANDLES IN BOWL,1,13/12/2010 09:35,3.36,Unknown,United Kingdom,3.36,12,2010,No
561908,85099F,JUMBO BAG STRAWBERRY,10,01/08/2011 10:09,2.08,14239,United Kingdom,20.8,8,2011,No
546096,22863,SOAP DISH BROCANTE,8,09/03/2011 11:59,2.95,15502,United Kingdom,23.6,3,2011,No
575930,47590B,PINK HAPPY BIRTHDAY BUNTING,1,11/11/2011 17:58,10.79,Unknown,United Kingdom,10.79,11,2011,No
544918,21949,SET OF 6 STRAWBERRY CHOPSTICKS,12,24/02/2011 16:30,1.25,13081,United Kingdom,15,2,2011,No
574690,23508,MINI PLAYING CARDS DOLLY GIRL ,20,06/11/2011 13:11,0.42,12638,Sweden,8.4,11,2011,No
569232,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,02/10/2011 15:26,5.95,16667,United Kingdom,17.85,10,2011,No
559342,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,07/07/2011 16:59,0.85,14493,United Kingdom,10.2,7,2011,No
546790,22383,LUNCH BAG SUKI DESIGN ,3,17/03/2011 10:26,1.65,14713,United Kingdom,4.95,3,2011,No
554072,22150,3 STRIPEY MICE FELTCRAFT,10,22/05/2011 11:24,1.95,13555,United Kingdom,19.5,5,2011,No
554552,21929,JUMBO BAG PINK VINTAGE PAISLEY,100,25/05/2011 09:58,1.79,13694,United Kingdom,179,5,2011,No
572670,72818,CHRISTMAS DECOUPAGE CANDLE,324,25/10/2011 13:14,0.39,13685,United Kingdom,126.36,10,2011,No
559337,21165,BEWARE OF THE CAT METAL SIGN ,1,07/07/2011 16:27,4.13,Unknown,United Kingdom,4.13,7,2011,No
545078,22616,PACK OF 12 LONDON TISSUES ,2,28/02/2011 10:15,0.83,Unknown,United Kingdom,1.66,2,2011,No
560555,22575,METAL MERRY CHRISTMAS WREATH,1,19/07/2011 13:01,1.95,14178,United Kingdom,1.95,7,2011,No
537768,21930,JUMBO STORAGE BAG SKULLS,10,08/12/2010 12:11,1.95,15750,United Kingdom,19.5,12,2010,No
575985,23405,HOME SWEET HOME 2 DRAWER CABINET,12,13/11/2011 14:09,4.95,17841,United Kingdom,59.4,11,2011,No
578950,23084,RABBIT NIGHT LIGHT,1,27/11/2011 14:40,2.08,17885,United Kingdom,2.08,11,2011,No
574287,21819,GLITTER CHRISTMAS STAR ,1,03/11/2011 15:09,0.39,14723,United Kingdom,0.39,11,2011,No
557283,23301,GARDENERS KNEELING PAD KEEP CALM ,3,19/06/2011 12:26,1.65,16813,United Kingdom,4.95,6,2011,No
556727,23236,DOILEY STORAGE TIN,6,14/06/2011 11:33,2.89,17675,United Kingdom,17.34,6,2011,No
575322,23245,SET OF 3 REGENCY CAKE TINS,36,09/11/2011 13:36,4.95,14543,United Kingdom,178.2,11,2011,No
543348,22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,2,07/02/2011 12:46,145,13983,United Kingdom,290,2,2011,No
571508,51014A,"FEATHER PEN,HOT PINK",5,17/10/2011 15:27,0.83,Unknown,United Kingdom,4.15,10,2011,No
568225,47591D,PINK FAIRY CAKE CHILDRENS APRON,8,26/09/2011 10:35,1.95,13014,United Kingdom,15.6,9,2011,No
546933,22676,FRENCH BLUE METAL DOOR SIGN 1,3,18/03/2011 11:02,0,Unknown,United Kingdom,0,3,2011,No
566195,23285,PINK VINTAGE SPOT BEAKER,16,09/09/2011 13:44,0.85,12433,Norway,13.6,9,2011,No
560868,22960,JAM MAKING SET WITH JARS,1,21/07/2011 14:14,4.25,14866,United Kingdom,4.25,7,2011,No
553470,21623,VINTAGE UNION JACK MEMOBOARD,80,17/05/2011 11:27,6.38,18102,United Kingdom,510.4,5,2011,No
567488,22835,HOT WATER BOTTLE I AM SO POORLY,2,20/09/2011 14:00,4.95,17564,United Kingdom,9.9,9,2011,No
539586,22834,HAND WARMER BABUSHKA DESIGN,24,20/12/2010 13:08,0.85,14298,United Kingdom,20.4,12,2010,No
542733,22277,COSMETIC BAG VINTAGE ROSE PAISLEY,1,31/01/2011 15:35,2.1,15058,United Kingdom,2.1,1,2011,No
550471,16237,SLEEPING CAT ERASERS,1,18/04/2011 13:52,0.42,Unknown,United Kingdom,0.42,4,2011,No
